,Nr źródła,C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Wydzielenia grafitu [mm-2],Udział wydzieleń grafitu [%],Średnica sferoidów [μm],Wielkość sferoidów,Nodularity [%],Udział perlitu [%],Udział ferrytu [%],Rm [MPa] (as cast),A5 [%]     (as cast),Minimalna grubość ścianki [mm],Temperatura austenityzacji [˚C],Czas austenityzacji [min.],Temperatura przemiany izotermicznej [˚C],Czas przemiany izotermicznej [min.],Rm [MPa],"R0,2 [MPa]",A5 [%],Twardość Brinella [HB],Twardość Rockwella [HRC],Twardość Rockwella [HRA],Twardość Rockwella [HRB],Twardość Vickersa [HV],Udarność Charpy [J],Temperatura pomiaru udarności [˚C],Udział austenitu %,Martensite volume fraction Xα'
1256,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,72.0,-40.0,,
1257,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,74.0,-20.0,,
1258,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,76.0,-20.0,,
1259,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,90.0,-20.0,,
1260,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,98.0,0.0,,
1261,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,108.0,0.0,,
1262,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,92.0,25.0,,
1263,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,102.0,25.0,,
1264,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,106.0,42.0,,
1265,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,108.0,42.0,,
1266,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,106.0,75.0,,
1267,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,108.0,75.0,,
1268,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,110.0,100.0,,
1269,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,112.0,100.0,,
1270,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,12.0,-60.0,,
1271,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,16.0,-60.0,,
