Lp,[LABELS],[wegiel],[mangan],[krzem],[fosfor],[siarka],[chrom],[nikiel],[miedz],[magnez],[wytrzym],[wydluz],[tward]
507,"[1211,1]",3.52,0.28,2.22,0.05,0.01,0.06,0.03,0.24,0.054,573,12.8,197
508,"[1211,2]",3.55,0.28,2.19,0.05,0.01,0.06,0.03,0.23,0.05,573,12.8,197
509,"[1212,1]",3.65,0.33,2.09,0.05,0.01,0.06,0.03,0.21,0.039,573,12.8,197
510,"[1212,2]",3.67,0.33,2.04,0.05,0.01,0.06,0.03,0.21,0.04,573,12.8,197
511,"[1213,1]",3.58,0.29,2.28,0.04,0.01,0.07,0.03,0.23,0.046,555,13.6,192
512,"[1213,2]",3.63,0.3,2.36,0.04,0.01,0.07,0.03,0.24,0.038,555,13.6,192
513,"[1214,1]",3.65,0.3,2.2,0.04,0.01,0.08,0.04,0.22,0.037,592,11.4,207
514,"[1214,2]",3.67,0.3,2.22,0.04,0.02,0.08,0.04,0.23,0.039,592,11.4,207
515,"[1215,1]",3.63,0.33,2.3,0.04,0.01,0.09,0.04,0.22,0.038,542,12.8,187
516,"[1215,2]",3.67,0.34,2.29,0.04,0.01,0.09,0.04,0.22,0.032,542,12.8,187
517,"[1216,1]",3.58,0.33,2.2,0.04,0.01,0.06,0.03,0.22,0.044,834,7.1,285
518,"[1216,2]",3.57,0.34,2.28,0.04,0.01,0.06,0.03,0.23,0.04,834,7.1,285
519,"[1217,1]",3.6,0.33,2.27,0.04,0.01,0.06,0.03,0.2,0.036,573,12.1,197
520,"[1217,2]",3.58,0.34,2.3,0.04,0.01,0.06,0.03,0.2,0.039,573,12.1,197
521,"[1218,1]",3.63,0.28,2.18,0.04,0.01,0.05,0.02,0.19,0.037,580,12.8,201
522,"[1218,2]",3.68,0.3,2.25,0.04,0.01,0.05,0.02,0.2,0.036,580,12.8,201
523,"[1220,1]",3.66,0.28,2.27,0.04,0.01,0.06,0.03,0.23,0.038,592,12.1,207
524,"[1220,2]",3.61,0.3,2.34,0.04,0.01,0.06,0.04,0.24,0.034,592,12.1,207
525,"[1221,1]",3.8,0.18,2.4,0.05,0.01,0.03,0.02,0.11,0.035,484,17.1,179
526,"[1221,2]",3.79,0.17,2.46,0.05,0.01,0.03,0.02,0.11,0.033,484,17.1,179
527,"[1222,1]",3.78,0.19,2.46,0.05,0.01,0.04,0.02,0.15,0.03,484,18.6,170
528,"[1222,2]",3.78,0.18,2.48,0.05,0.01,0.04,0.02,0.15,0.031,484,18.6,170
529,"[1223,1]",3.64,0.31,2.37,0.04,0.01,0.05,0.03,0.21,0.044,593,11.4,217
530,"[1223,2]",3.64,0.31,2.34,0.04,0.01,0.05,0.03,0.2,0.041,593,11.4,217
531,"[1224,1]",3.6,0.35,2.35,0.04,0.01,0.09,0.05,0.21,0.047,552,15.7,197
532,"[1224,2]",3.55,0.35,2.38,0.04,0.01,0.08,0.05,0.21,0.043,552,15.7,197
533,"[1225,1]",3.64,0.29,2.12,0.05,0.01,0.07,0.04,0.65,0.048,723,7.1,262
534,"[1225,2]",3.65,0.29,2.1,0.05,0.01,0.07,0.04,0.65,0.047,723,7.1,262
535,"[1226,1]",3.62,0.28,2.25,0.04,0.02,0.06,0.04,0.53,0.048,650,8.6,223
536,"[1226,2]",3.64,0.29,2.25,0.04,0.02,0.06,0.04,0.52,0.041,650,8.6,223
537,"[1227,1]",3.69,0.23,2.37,0.05,0.01,0.05,0.03,0.46,0.054,650,11.4,235
538,"[1228,1]",3.57,0.25,2.1,0.04,0.01,0.05,0.03,0.44,0.053,668,10.7,229
539,"[1228,2]",3.63,0.25,2.09,0.04,0.02,0.05,0.03,0.44,0.05,668,10.7,229
540,"[1229,1]",3.78,0.16,2.65,0.05,0.02,0.03,0.02,0.07,0.046,455,22.8,163
541,"[1229,2]",3.64,0.16,2.67,0.05,0.02,0.03,0.02,0.07,0.044,455,22.8,163
542,"[1230,1]",3.84,0.18,2.65,0.05,0.02,0.03,0.02,0.09,0.036,452,22.1,156
543,"[1231,1]",3.75,0.18,2.59,0.04,0.01,0.04,0.02,0.14,0.037,462,21.4,159
544,"[1231,2]",3.76,0.18,2.46,0.04,0.01,0.04,0.02,0.13,0.031,462,21.4,159
545,"[1232,1]",3.76,0.18,2.55,0.04,0.01,0.04,0.02,0.17,0.032,459,20.7,156
546,"[1232,2]",3.79,0.18,2.56,0.04,0.01,0.04,0.02,0.17,0.034,459,20.7,156
547,"[1233,1]",3.75,0.16,2.57,0.04,0.01,0.03,0.02,0.13,0.039,436,23.6,156
548,"[1233,2]",3.75,0.17,2.55,0.05,0.01,0.04,0.02,0.13,0.033,436,23.6,156
549,"[1234,1]",3.84,0.15,2.41,0.04,0.01,0.03,0.02,0.1,0.046,433,22.8,156
550,"[1235,1]",3.84,0.14,2.54,0.05,0.01,0.03,0.01,0.08,0.04,459,25,167
551,"[1235,2]",3.86,0.14,2.53,0.05,0.01,0.03,0.01,0.08,0.039,459,25,167
552,"[1236,1]",3.7,0.14,2.46,0.05,0.01,0.03,0.01,0.06,0.039,459,25,163
553,"[1236,2]",3.8,0.15,2.52,0.05,0.01,0.03,0.01,0.07,0.038,459,25,163
554,"[1237,1]",3.74,0.13,2.5,0.05,0.01,0.03,0.01,0.07,0.04,459,25,163
555,"[1237,2]",3.76,0.14,2.59,0.05,0.01,0.03,0.01,0.07,0.039,459,25,163
556,"[1238,1]",3.8,0.12,2.54,0.05,0.01,0.02,0.01,0.05,0.04,446,25,163
557,"[1238,2]",3.84,0.12,2.57,0.05,0.01,0.02,0.01,0.06,0.037,446,25,163
558,"[1239,1]",3.84,0.17,2.45,0.05,0.01,0.06,0.04,0.08,0.036,484,22.1,167
559,"[1239,2]",3.86,0.17,2.48,0.05,0.01,0.06,0.04,0.08,0.032,484,22.1,167
560,"[1240,1]",3.64,0.27,2.29,0.04,0.01,0.05,0.03,0.19,0.045,662,10.7,229
561,"[1240,2]",3.74,0.28,2.34,0.04,0.01,0.05,0.03,0.2,0.036,662,10.7,229
562,"[1241,1]",3.65,0.33,2.34,0.04,0.01,0.06,0.03,0.24,0.037,796,7.1,269
563,"[1241,2]",3.69,0.32,2.35,0.04,0.01,0.06,0.03,0.23,0.038,796,7.1,269
564,"[1242,1]",3.71,0.32,2.36,0.04,0.01,0.06,0.03,0.2,0.033,777,7.1,269
565,"[1242,2]",3.7,0.32,2.35,0.04,0.01,0.06,0.03,0.2,0.03,777,7.1,269
566,"[1242,3]",3.7,0.33,2.34,0.04,0.01,0.06,0.03,0.21,0.039,777,7.1,269
567,"[1243,1]",3.67,0.3,2.3,0.04,0.01,0.06,0.03,0.22,0.049,688,10,223
568,"[1244,1]",3.65,0.34,2.21,0.04,0.01,0.06,0.03,0.21,0.047,828,7.1,277
569,"[1244,2]",3.65,0.34,2.24,0.04,0.01,0.06,0.03,0.21,0.045,828,7.1,277
570,"[1245,1]",3.54,0.28,2.2,0.04,0.01,0.05,0.03,0.21,0.046,758,7.1,262
571,"[1246,1]",3.65,0.33,2.23,0.04,0.01,0.05,0.03,0.21,0.047,605,12.1,262
572,"[1246,2]",3.66,0.33,2.28,0.04,0.01,0.05,0.03,0.21,0.04,605,12.1,212
573,"[1247,1]",3.69,0.34,2.28,0.04,0.01,0.05,0.03,0.15,0.035,573,12.8,192
574,"[1247,2]",3.72,0.35,2.3,0.04,0.01,0.05,0.03,0.15,0.032,573,12.8,192
575,"[1248,1]",3.75,0.11,2.47,0.05,0.01,0.03,0.02,0.08,0.034,427,23.6,152
576,"[1248,2]",3.73,0.12,2.46,0.05,0.01,0.03,0.02,0.08,0.029,427,23.6,152
