Lp,[LABELS],[wegiel],[mangan],[krzem],[fosfor],[siarka],[chrom],[nikiel],[miedz],[magnez],[wytrzym],[wydluz],[tward]
836,"[2009,1]",3.69,0.28,2.31,0.048,0.013,0.09,0.03,0.38,0.04,650,9.3,248
837,"[2009,2]",3.75,0.28,2.33,0.05,0.014,0.09,0.03,0.38,0.045,650,9.3,248
838,"[2010,1]",3.75,0.36,2.42,0.046,0.013,0.08,0.03,0.18,0.048,568,12.1,197
839,"[2011,1]",3.65,0.38,2.23,0.046,0.014,0.09,0.03,0.16,0.039,573,12.1,179
840,"[2011,2]",3.68,0.39,2.26,0.049,0.014,0.1,0.03,0.16,0.041,573,12.1,179
841,"[2012,1]",3.83,0.17,2.51,0.053,0.015,0.05,0.02,0.06,0.038,446,20,159
842,"[2013,1]",3.89,0.15,2.45,0.055,0.017,0.04,0.01,0.07,0.037,497,15.7,170
843,"[2013,2]",3.86,0.15,2.35,0.056,0.018,0.04,0.01,0.06,0.035,497,15.7,170
844,"[2014,1]",3.79,0.16,2.57,0.056,0.012,0.04,0.01,0.06,0.033,478,20,163
845,"[2014,2]",3.82,0.15,2.52,0.056,0.012,0.04,0.01,0.06,0.031,478,20,163
846,"[2015,1]",3.8,0.12,2.58,0.055,0.007,0.02,0.01,0.05,0.034,446,24.3,156
847,"[2015,2]",3.79,0.12,2.57,0.058,0.011,0.03,0.01,0.04,0.036,446,24.3,156
848,"[2016,1]",3.76,0.12,2.55,0.056,0.01,0.03,0.01,0.04,0.035,443,24.3,159
849,"[2016,2]",3.75,0.12,2.62,0.057,0.01,0.03,0.01,0.05,0.03,443,24.3,159
850,"[2017,1]",3.77,0.1,2.5,0.053,0.013,0.02,0,0.03,0.037,439,24.3,159
851,"[2017,2]",3.76,0.1,2.62,0.056,0.011,0.02,0,0.04,0.034,439,24.3,159
852,"[2018,1]",3.7,0.12,2.66,0.058,0.012,0.02,0.01,0.04,0.04,452,24.3,159
853,"[2018,2]",3.74,0.12,2.7,0.059,0.013,0.02,0.01,0.04,0.044,452,24.3,159
854,"[2019,1]",3.71,0.11,2.48,0.058,0.013,0.02,0.01,0.04,0.034,452,24.3,159
855,"[2019,2]",3.79,0.12,2.42,0.058,0.012,0.02,0.01,0.04,0.031,452,24.3,159
856,"[2020,1]",3.86,0.13,2.65,0.061,0.012,0.03,0.01,0.05,0.035,471,24.3,163
857,"[2020,2]",3.77,0.13,2.65,0.061,0.012,0.03,0.01,0.04,0.032,471,24.3,163
858,"[2021,1]",3.73,0.11,2.42,0.054,0.011,0.02,0,0.03,0.034,439,20,163
859,"[2021,2]",3.82,0.12,2.5,0.057,0.012,0.02,0,0.04,0.038,439,20,163
860,"[2022,1]",3.72,0.13,2.65,0.053,0.007,0.03,0.01,0.05,0.034,459,20,163
861,"[2022,2]",3.8,0.13,2.69,0.056,0.009,0.03,0.01,0.05,0.031,459,20,163
862,"[2023,1]",3.87,0.12,2.46,0.054,0.01,0.03,0,0.05,0.04,452,24.3,159
863,"[2023,2]",3.85,0.12,2.46,0.054,0.01,0.03,0,0.05,0.039,452,24.3,159
864,"[2024,1]",3.88,0.16,2.63,0.052,0.016,0.04,0.02,0.06,0.042,452,22.8,163
865,"[2024,2]",3.89,0.16,2.65,0.053,0.016,0.04,0.02,0.06,0.044,452,22.8,163
866,"[2025,1]",3.66,0.18,2.31,0.049,0.016,0.04,0.02,0.06,0.033,700,7.1,241
867,"[2026,1]",3.69,0.15,2.7,0.055,0.014,0.03,0.01,0.05,0.028,471,17.1,167
868,"[2026,2]",3.73,0.15,2.74,0.058,0.012,0.03,0.02,0.05,0.033,471,17.1,167
869,"[2028,1]",3.83,0.16,2.6,0.057,0.011,0.03,0.01,0.05,0.034,459,20,159
870,"[2028,2]",3.82,0.16,2.62,0.058,0.013,0.02,0.01,0.05,0.036,459,20,159
871,"[2029,1]",3.78,0.14,2.57,0.058,0.011,0.02,0,0.04,0.037,452,23.6,163
872,"[2029,2]",3.81,0.14,2.62,0.059,0.012,0.02,0,0.04,0.038,452,23.6,163
873,"[2031,1]",3.64,0.11,2.66,0.056,0.008,0.02,0,0.03,0.041,446,23.6,167
874,"[2031,2]",3.74,0.11,2.6,0.058,0.009,0.02,0,0.03,0.04,446,23.6,167
875,"[2032,1]",3.79,0.13,2.64,0.057,0.008,0.03,0,0.04,0.032,516,15,170
876,"[2032,2]",3.83,0.13,2.64,0.06,0.01,0.03,0,0.04,0.035,516,15,170
877,"[2033,1]",3.81,0.12,2.61,0.058,0.016,0.03,0.02,0.06,0.043,446,23.6,163
878,"[2033,2]",3.72,0.12,2.67,0.056,0.015,0.03,0.02,0.06,0.042,446,23.6,163
879,"[2034,1]",3.79,0.12,2.6,0.054,0.016,0.03,0.02,0.06,0.03,459,24.3,163
880,"[2034,2]",3.8,0.12,2.69,0.057,0.011,0.03,0.02,0.06,0.032,459,24.3,163
881,"[2035,1]",3.87,0.14,2.59,0.052,0.013,0.03,0.02,0.06,0.042,446,21.4,156
882,"[2035,2]",3.87,0.14,2.63,0.054,0.012,0.03,0.02,0.06,0.042,446,21.4,156
883,"[2036,1]",3.76,0.11,2.54,0.057,0.011,0.03,0,0.04,0.04,490,29,159
884,"[2036,2]",3.81,0.12,2.58,0.059,0.014,0.03,0.01,0.04,0.041,490,29,159
885,"[2037,1]",3.86,0.09,2.41,0.058,0.008,0.02,0.01,0.03,0.03,480,18.3,159
886,"[2037,2]",3.88,0.09,2.5,0.057,0.01,0.02,0.01,0.03,0.036,480,18.3,159
887,"[2038,1]",3.85,0.11,2.69,0.058,0.009,0.02,0.01,0.03,0.037,480,19.3,156
888,"[2039,1]",3.82,0.09,2.5,0.057,0.008,0.02,0,0.03,0.037,382,7.1,156
889,"[2039,2]",3.86,0.09,2.58,0.061,0.006,0.02,0,0.03,0.038,382,7.1,156
890,"[2040,1]",3.83,0.09,2.58,0.059,0.006,0.02,0,0.03,0.038,480,17.7,156
891,"[2040,2]",3.83,0.09,2.56,0.06,0.007,0.02,0,0.03,0.04,480,17.7,156
892,"[2041,1]",3.8,0.1,2.63,0.053,0.005,0.02,0,0.03,0.038,446,20.7,159
893,"[2041,2]",3.85,0.1,2.66,0.057,0.006,0.02,0,0.03,0.037,446,20.7,159
894,"[2042,1]",3.78,0.09,2.58,0.057,0.007,0.02,0,0.03,0.04,446,24.3,159
895,"[2042,2]",3.79,0.09,2.58,0.059,0.008,0.02,0,0.03,0.041,446,24.3,159
896,"[2043,1]",3.85,0.14,2.5,0.053,0.01,0.03,0.02,0.06,0.037,446,20.7,159
897,"[2043,2]",3.83,0.14,2.55,0.057,0.009,0.03,0.02,0.06,0.037,446,20.7,159
898,"[2044,1]",3.87,0.11,2.61,0.06,0.009,0.03,0.02,0.06,0.042,452,19.3,159
899,"[2044,2]",3.89,0.11,2.57,0.059,0.009,0.03,0.02,0.06,0.039,452,19.3,159
900,"[2045,1]",3.84,0.15,2.62,0.055,0.012,0.04,0.02,0.06,0.033,573,15,212
901,"[2045,2]",3.8,0.14,2.52,0.052,0.012,0.04,0.02,0.06,0.037,573,15,212
902,"[2047,1]",3.83,0.12,2.61,0.056,0.011,0.03,0.01,0.05,0.042,478,15.7,174
903,"[2047,2]",3.78,0.12,2.56,0.056,0.012,0.03,0.02,0.05,0.036,478,15.7,174
904,"[2048,1]",3.75,0.12,2.56,0.054,0.012,0.03,0.01,0.05,0.04,446,20,163
905,"[2049,1]",3.79,0.12,2.55,0.055,0.011,0.03,0.01,0.05,0.038,459,20,163
906,"[2049,2]",3.78,0.12,2.54,0.055,0.011,0.03,0.01,0.05,0.038,459,20,163
907,"[2050,1]",3.87,0.12,2.63,0.054,0.012,0.03,0,0.04,0.032,465,20,201
908,"[2050,2]",3.86,0.12,2.62,0.054,0.012,0.03,0,0.04,0.035,465,20,201
909,"[2051,1]",3.79,0.1,2.46,0.056,0.01,0.02,0,0.04,0.033,459,18.6,197
910,"[2051,2]",3.81,0.1,2.44,0.057,0.01,0.02,0,0.04,0.031,459,18.6,197
,,,,,,,,,,,,,
,[LIMITS],>,>,>,>,>,>,>,>,>,<,<,<
,[highs],4,0.42,2.98,0.07,0.021,0.12,0.07,0.7,0.065,860,29,311
,[lows],3.47,0.09,2.03,0.01,0.005,0.01,0,0.03,0.024,382,5.7,152
,[END],,,,,,,,,,,,
,,3.47,0.09,2.00,0.01,0.005,0.01,0,0.03,0.024,382,5.7,152
